id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2025,gap_necessario_pp,nao_atingiria_sem_crescimento,nome_municipio,sigla_uf
4320453,Municipal,11.1,80.0,68.9,True,Sério,RS
4301073,Municipal,18.2,80.0,61.8,True,Arroio do Padre,RS
4319208,Municipal,7.1,65.1,57.99999999999999,True,São Nicolau,RS
4310850,Municipal,25.0,80.0,55.0,True,Jaboticaba,RS
4319752,Municipal,25.0,80.0,55.0,True,São Vendelino,RS
1704600,Municipal,6.25,59.77,53.52,True,Chapada de Areia,TO
1713601,Municipal,19.71,73.1,53.38999999999999,True,Monte do Carmo,TO
4306700,Municipal,26.7,80.0,53.3,True,Dona Francisca,RS
4302584,Municipal,27.3,80.0,52.7,True,Bozano,RS
4320354,Municipal,23.5,75.7,52.2,True,Sentinela do Sul,RS
4313334,Municipal,28.0,80.0,52.0,True,Nova Ramada,RS
4203105,Municipal,27.3,76.83,49.53,True,Caibi,SC
4314209,Municipal,22.3,71.61,49.31,True,Pedro Osório,RS
3553658,Municipal,27.27,76.51,49.24000000000001,True,Taquaral,SP
4313953,Municipal,25.7,74.82,49.11999999999999,True,Pantano Grande,RS
2509057,Municipal,24.23,72.42,48.19,True,Marcação,PB
4302238,Municipal,26.6,74.0,47.4,True,Boa Vista do Incra,RS
2411502,Municipal,23.56,70.8,47.239999999999995,True,Santo Antônio,RN
4312203,Municipal,33.3,80.0,46.7,True,Maximiliano de Almeida,RS
4323507,Municipal,33.3,80.0,46.7,True,Vista Alegre,RS
4311122,Municipal,25.6,72.13,46.529999999999994,True,Jaquirana,RS
4321303,Municipal,13.2,59.5,46.3,True,Taquari,RS
4317004,Municipal,13.1,58.96,45.86,True,Santana da Boa Vista,RS
2100808,Municipal,34.63,80.0,45.37,True,Anapurus,MA
1711100,Municipal,24.0,69.25,45.25,True,Itaporã do Tocantins,TO
3505401,Municipal,34.89,80.0,45.11,True,Barra do Turvo,SP
4313102,Municipal,35.9,80.0,44.1,True,Nova Palma,RS
4320230,Municipal,36.1,80.0,43.9,True,Sede Nova,RS
4218954,Municipal,36.34,80.0,43.66,True,Urupema,SC
4305900,Municipal,36.0,79.43,43.43000000000001,True,Coronel Bicaco,RS
4310702,Municipal,36.8,80.0,43.2,True,Itatiba do Sul,RS
4312617,Municipal,29.4,72.3,42.9,True,Muitos Capões,RS
4318614,Municipal,37.5,80.0,42.5,True,São José do Sul,RS
4301552,Municipal,37.5,80.0,42.5,True,Áurea,RS
4322541,Municipal,35.0,77.4,42.400000000000006,True,Vale Real,RS
2107456,Municipal,37.64,80.0,42.36,True,Olinda Nova do Maranhão,MA
4319000,Municipal,38.3,80.0,41.7,True,São Marcos,RS
4301875,Municipal,25.5,67.17,41.67,True,Barra do Quaraí,RS
4320859,Municipal,24.7,66.3,41.599999999999994,True,Tabaí,RS
4321493,Municipal,38.7,80.0,41.3,True,Toropi,RS
2109056,Municipal,34.42,75.71,41.28999999999999,True,Porto Rico do Maranhão,MA
2210904,Municipal,30.86,72.09,41.230000000000004,True,Socorro do Piauí,PI
4307203,Municipal,38.8,80.0,41.2,True,Erval Grande,RS
4307500,Municipal,39.1,80.0,40.9,True,Espumoso,RS
4300901,Municipal,39.2,80.0,40.8,True,Aratiba,RS
4314464,Municipal,35.3,75.92,40.620000000000005,True,Pinhal da Serra,RS
2402402,Municipal,29.88,70.15,40.27000000000001,True,Carnaúba dos Dantas,RN
3529708,Municipal,29.09,69.35,40.25999999999999,True,Miguelópolis,SP
2106359,Municipal,39.77,80.0,40.23,True,Marajá do Sena,MA
2106607,Municipal,34.52,74.7,40.18,True,Matões,MA
4305587,Municipal,39.9,80.0,40.1,True,Colinas,RS
