,taxa_alfabetizacao_municipio_ano_anterior,media_portugues_municipio_ano_anterior,presenca_municipio_ano_anterior,quantidade_alunos_ano_anterior,populacao_2022,pib_per_capita_2021,participacao_agro_2021,participacao_industria_2021,participacao_servicos_2021,participacao_publica_2021,alvo_alfabetizado
taxa_alfabetizacao_municipio_ano_anterior,1.0,0.9432286102955622,0.3415923617709186,0.015883335157672283,-0.2209475262116194,0.028579299615657066,0.15000641241123502,0.10611608716999489,-0.14686496547047617,-0.06883439320692517,0.24436495231965258
media_portugues_municipio_ano_anterior,0.9432286102955622,1.0,0.4174052529049367,0.011768518727780763,-0.21755843703464195,-0.030942238478765174,0.14531265301930535,0.04553095156570217,-0.16354763024334804,0.023738984819239393,0.24615287005611156
presenca_municipio_ano_anterior,0.3415923617709186,0.4174052529049367,1.0,-0.11699125327189751,-0.11582566285117829,-0.14637538801222927,0.20965319344088246,-0.1597295098552471,-0.21072782684278044,0.18670068543553817,0.16617573913727407
quantidade_alunos_ano_anterior,0.015883335157672283,0.011768518727780763,-0.11699125327189751,1.0,0.9672192185163061,0.01540942154088264,-0.3894578354775004,0.03657494566028304,0.5832619194360336,-0.27600962479447533,-0.017184236446211445
populacao_2022,-0.2209475262116194,-0.21755843703464195,-0.11582566285117829,0.9672192185163061,1.0,0.1801365925636045,-0.2570973581078876,-0.20762383507372284,0.602560040293558,-0.3321906620200433,-0.01930134637475055
pib_per_capita_2021,0.028579299615657066,-0.030942238478765174,-0.14637538801222927,0.01540942154088264,0.1801365925636045,1.0,-0.0975585903655765,0.41380135725868306,0.1737502568224228,-0.5784409931289031,0.016526960034856396
participacao_agro_2021,0.15000641241123502,0.14531265301930535,0.20965319344088246,-0.3894578354775004,-0.2570973581078876,-0.0975585903655765,1.0,-0.34585616396634344,-0.6314239216062568,0.192134489526705,0.039067146115828226
participacao_industria_2021,0.10611608716999489,0.04553095156570217,-0.1597295098552471,0.03657494566028304,-0.20762383507372284,0.41380135725868306,-0.34585616396634344,1.0,-0.18017782540187088,-0.46536833766915114,0.02191746706457399
participacao_servicos_2021,-0.14686496547047617,-0.16354763024334804,-0.21072782684278044,0.5832619194360336,0.602560040293558,0.1737502568224228,-0.6314239216062568,-0.18017782540187088,1.0,-0.514535034339526,-0.025169180991581247
participacao_publica_2021,-0.06883439320692517,0.023738984819239393,0.18670068543553817,-0.27600962479447533,-0.3321906620200433,-0.5784409931289031,0.192134489526705,-0.46536833766915114,-0.514535034339526,1.0,-0.029731618667383317
alvo_alfabetizado,0.24436495231965258,0.24615287005611156,0.16617573913727407,-0.017184236446211445,-0.01930134637475055,0.016526960034856396,0.039067146115828226,0.02191746706457399,-0.025169180991581247,-0.029731618667383317,1.0
