variavel,media_ponderada,p10,p50,p90
taxa_alfabetizacao_municipio_ano_anterior,55.983950400335054,37.87,54.46,76.4
media_portugues_municipio_ano_anterior,744.869889215771,721.9432,742.9215,767.0897
presenca_municipio_ano_anterior,86.74608189329861,77.65718562874252,87.50889679715303,95.3125
quantidade_alunos_ano_anterior,2685.541339932903,111.0,811.0,7717.0
populacao_2022,1253362.1430488648,12419.0,118979.0,2417678.0
pib_per_capita_2021,43050.5445639245,12149.387396296906,33094.36447670313,68571.35763654378
participacao_agro_2021,0.09756765877282182,9.325863594793432e-05,0.026075814318313104,0.31689792296008057
participacao_industria_2021,0.19935228057017998,0.047149250652483925,0.1475680438072135,0.4097580986991194
participacao_servicos_2021,0.49145040289829406,0.2292260736522071,0.4935457081496178,0.775879569445576
participacao_publica_2021,0.21162965806760686,0.07332618961336479,0.16833990285556655,0.43125201620129755
