feature,aumento_brier,std
media_portugues_municipio_ano_anterior,0.01449907072440535,0.0017516805166780214
codigo_uf,0.009217154645017956,0.0038222252850522863
populacao_2022,0.0006654760367300506,9.040233958074255e-05
participacao_publica_2021,0.00044205048878406263,0.0004053442114492773
presenca_municipio_ano_anterior,0.00025228627927441626,0.0005187507150032635
taxa_alfabetizacao_municipio_ano_anterior,9.617745139754441e-05,0.0005754646978807548
participacao_industria_2021,6.290028761367083e-05,8.230829686444101e-05
rede,2.3654482299695357e-05,8.376706118830623e-05
participacao_servicos_2021,2.1396228407849495e-05,5.312151991710493e-06
pib_per_capita_2021,-0.00011412381864813747,4.51699362383433e-05
participacao_agro_2021,-0.0001709222857659176,9.978634033477787e-05
quantidade_alunos_ano_anterior,-0.0014288285656770872,0.00014161154352001451
