id_municipio,particao
1100015,validacao
1100023,treino
1100031,treino
1100049,treino
1100056,treino
1100064,validacao
1100072,treino
1100080,validacao
1100098,teste
1100106,treino
1100114,treino
1100122,treino
1100130,teste
1100148,treino
1100155,treino
1100189,teste
1100205,treino
1100254,teste
1100262,treino
1100288,validacao
1100296,treino
1100304,validacao
1100320,validacao
1100338,teste
1100346,treino
1100379,treino
1100403,teste
1100452,validacao
1100502,treino
1100601,teste
1100700,treino
1100809,treino
1100908,treino
1100924,teste
1100940,validacao
1101005,treino
1101104,treino
1101203,teste
1101302,validacao
1101401,treino
1101435,treino
1101450,treino
1101468,validacao
1101476,teste
1101484,teste
1101492,treino
1101500,treino
1101559,teste
1101609,treino
1101708,treino
1101757,treino
1101807,treino
1200013,treino
1200054,treino
1200104,treino
1200138,validacao
1200179,treino
1200203,treino
1200252,treino
1200302,treino
1200328,treino
1200336,teste
1200344,treino
1200351,teste
1200385,treino
1200393,teste
1200401,treino
1200427,treino
1200435,validacao
1200450,teste
1200500,teste
1200609,validacao
1200708,treino
1200807,validacao
1300029,treino
1300060,validacao
1300086,treino
1300102,treino
1300144,treino
1300201,teste
1300300,teste
1300409,treino
1300508,treino
1300607,treino
1300631,teste
1300680,treino
1300706,treino
1300805,treino
1300839,teste
1300904,validacao
1301001,teste
1301100,validacao
1301159,treino
1301209,teste
1301308,treino
1301407,teste
1301506,validacao
1301605,validacao
1301654,treino
1301704,treino
1301803,teste
1301852,treino
1301902,teste
1301951,treino
1302009,treino
1302108,treino
1302207,teste
1302306,teste
1302405,validacao
1302504,teste
1302553,validacao
1302603,validacao
1302702,validacao
1302801,treino
1302900,treino
1303007,validacao
1303106,treino
1303205,treino
1303304,treino
1303403,treino
1303502,treino
1303536,teste
1303569,treino
1303601,validacao
1303700,treino
1303809,treino
1303908,treino
1303957,treino
1304005,treino
1304062,treino
1304104,treino
1304203,treino
1304237,teste
1304260,treino
1304302,treino
1304401,teste
1500107,treino
1500131,treino
1500206,treino
1500305,treino
1500347,validacao
1500404,treino
1500503,treino
1500602,treino
1500701,teste
1500800,validacao
1500859,treino
1500909,treino
1500958,validacao
1501006,teste
1501105,treino
1501204,teste
1501253,validacao
1501303,treino
1501402,treino
1501451,treino
1501501,treino
1501576,teste
1501600,validacao
1501709,treino
1501725,treino
1501758,validacao
1501782,treino
1501808,treino
1501907,validacao
1501956,treino
1502004,treino
1502103,teste
1502152,teste
1502202,validacao
1502301,treino
1502400,treino
1502509,treino
1502608,treino
1502707,validacao
1502756,treino
1502764,treino
1502772,teste
1502806,treino
1502855,teste
1502905,treino
1502939,teste
1502954,validacao
1503002,teste
1503044,teste
1503077,treino
1503093,validacao
1503101,treino
1503200,treino
1503309,validacao
1503408,treino
1503457,treino
1503507,treino
1503606,validacao
1503705,treino
1503754,treino
1503804,treino
1503903,treino
1504000,treino
1504059,teste
1504109,validacao
1504208,treino
1504307,treino
1504406,teste
1504422,treino
1504455,validacao
1504505,treino
1504604,treino
1504703,teste
1504752,treino
1504802,teste
1504901,treino
1504950,treino
1504976,validacao
1505007,treino
1505031,treino
1505064,treino
1505106,treino
1505205,treino
1505304,teste
1505403,treino
1505437,teste
1505486,treino
1505494,treino
1505502,treino
1505536,treino
1505551,treino
1505601,teste
1505635,teste
1505650,treino
1505700,teste
1505809,treino
1505908,treino
1506005,teste
1506104,treino
1506112,treino
1506138,treino
1506161,treino
1506187,teste
1506195,teste
1506203,teste
1506302,treino
1506351,treino
1506401,treino
1506500,treino
1506559,teste
1506583,treino
1506609,treino
1506708,teste
1506807,validacao
1506906,treino
1507003,teste
1507102,teste
1507151,validacao
1507201,teste
1507300,treino
1507409,validacao
1507458,validacao
1507466,validacao
1507474,teste
1507508,validacao
1507607,treino
1507706,treino
1507755,teste
1507805,treino
1507904,treino
1507953,treino
1507961,treino
1507979,treino
1508001,treino
1508035,treino
1508050,treino
1508084,teste
1508100,treino
1508126,treino
1508159,treino
1508209,treino
1508308,treino
1508357,treino
1508407,teste
1600055,treino
1600105,treino
1600154,treino
1600204,treino
1600212,treino
1600238,treino
1600253,teste
1600279,teste
1600303,validacao
1600402,treino
1600501,teste
1600535,teste
1600550,teste
1600600,teste
1600709,treino
1600808,treino
1700251,teste
1700301,teste
1700350,treino
1700400,treino
1700707,treino
1701002,treino
1701051,treino
1701101,treino
1701309,treino
1701903,treino
1702000,validacao
1702109,validacao
1702158,teste
1702208,treino
1702307,treino
1702406,validacao
1702554,treino
1702703,treino
1702901,treino
1703008,teste
1703057,treino
1703073,validacao
1703107,validacao
1703206,teste
1703305,validacao
1703602,treino
1703701,teste
1703800,validacao
1703826,teste
1703842,validacao
1703867,treino
1703883,validacao
1703891,treino
1703909,treino
1704105,treino
1704600,treino
1705102,treino
1705508,teste
1705557,teste
1705607,validacao
1706001,teste
1706100,treino
1706258,treino
1706506,teste
1707009,treino
1707108,validacao
1707207,treino
1707306,treino
1707405,treino
1707553,treino
1707652,teste
1707702,treino
1708205,treino
1708254,treino
1708304,teste
1709005,teste
1709302,validacao
1709500,treino
1709807,teste
1710508,validacao
1710706,treino
1710904,treino
1711100,treino
1711506,treino
1711803,treino
1711902,treino
1711951,treino
1712009,treino
1712157,treino
1712405,validacao
1712454,treino
1712504,teste
1712702,validacao
1712801,validacao
1713205,treino
1713304,teste
1713601,treino
1713700,teste
1713809,treino
1713957,treino
1714203,treino
1714302,treino
1714880,treino
1715002,treino
1715101,treino
1715150,teste
1715259,treino
1715507,treino
1715705,validacao
1715754,treino
1716109,treino
1716208,teste
1716307,treino
1716505,treino
1716604,treino
1716653,treino
1716703,validacao
1717008,teste
1717206,treino
1717503,treino
1717800,treino
1717909,validacao
1718006,validacao
1718204,treino
1718303,treino
1718402,teste
1718451,validacao
1718501,treino
1718550,validacao
1718659,treino
1718709,treino
1718758,validacao
1718808,treino
1718840,treino
1718865,teste
1718881,validacao
1718899,treino
1718907,treino
1719004,teste
1720002,treino
1720101,teste
1720150,treino
1720200,teste
1720259,treino
1720309,validacao
1720499,validacao
1720655,teste
1720804,treino
1720853,treino
1720903,teste
1720937,teste
1720978,treino
1721000,teste
1721109,teste
1721208,treino
1721257,treino
1721307,treino
1722081,treino
1722107,treino
2100055,treino
2100105,treino
2100154,teste
2100204,teste
2100303,teste
2100402,treino
2100436,validacao
2100477,treino
2100501,teste
2100550,treino
2100600,treino
2100709,treino
2100808,teste
2100832,treino
2100873,treino
2100907,treino
2100956,treino
2101004,treino
2101103,teste
2101202,treino
2101251,treino
2101301,validacao
2101350,teste
2101400,treino
2101509,treino
2101608,treino
2101707,treino
2101731,treino
2101772,treino
2101806,treino
2101905,teste
2101939,treino
2101970,treino
2102002,teste
2102036,validacao
2102077,treino
2102101,teste
2102150,teste
2102200,teste
2102309,treino
2102325,treino
2102358,treino
2102374,treino
2102408,teste
2102507,teste
2102556,treino
2102606,treino
2102705,treino
2102754,treino
2102804,treino
2102903,teste
2103000,teste
2103109,treino
2103125,validacao
2103158,treino
2103174,treino
2103208,teste
2103257,treino
2103307,validacao
2103406,treino
2103505,validacao
2103554,treino
2103604,teste
2103703,validacao
2103752,treino
2103802,validacao
2103901,teste
2104008,treino
2104057,treino
2104073,treino
2104081,teste
2104099,treino
2104107,validacao
2104206,treino
2104305,validacao
2104404,treino
2104503,treino
2104552,treino
2104602,treino
2104628,treino
2104651,treino
2104677,treino
2104701,treino
2104800,validacao
2104909,treino
2105005,validacao
2105104,treino
2105153,treino
2105203,validacao
2105302,validacao
2105351,treino
2105401,treino
2105427,teste
2105450,treino
2105476,treino
2105500,teste
2105609,treino
2105658,validacao
2105708,teste
2105807,teste
2105906,treino
2105922,treino
2105948,validacao
2105963,teste
2105989,treino
2106003,treino
2106102,treino
2106201,treino
2106300,treino
2106326,teste
2106359,treino
2106375,treino
