id_municipio,nome_municipio,sigla_uf,regiao,particao,alunos,risco_contextual_2024,fracao_observada_nao_alfabetizado
2919900,Macururé,BA,Nordeste,treino,40,0.8459102310258334,0.875
2804300,Muribeca,SE,Nordeste,treino,35,0.794313548001878,0.7714285714285715
2802502,General Maynard,SE,Nordeste,treino,32,0.7745384775550079,0.78125
2805901,Riachuelo,SE,Nordeste,treino,92,0.7707652327559811,0.6847826086956522
2410108,Poço Branco,RN,Nordeste,validacao,65,0.7680103184193843,0.7538461538461538
2406908,Lucrécia,RN,Nordeste,treino,21,0.7670276369729869,0.5714285714285714
2910503,Entre Rios,BA,Nordeste,treino,255,0.761865842942533,0.6745098039215687
2907202,Casa Nova,BA,Nordeste,validacao,430,0.7589932159783119,0.7906976744186046
2401602,Bento Fernandes,RN,Nordeste,treino,55,0.7583335616775054,0.7090909090909091
2909208,Coronel João Sá,BA,Nordeste,teste,111,0.7578437109060137,0.6396396396396397
2929800,Saúde,BA,Nordeste,treino,82,0.7556942903217257,0.7926829268292683
2403509,Espírito Santo,RN,Nordeste,treino,72,0.7543961993898929,0.5138888888888888
2902708,Barra,BA,Nordeste,treino,474,0.7542439724820894,0.7151898734177216
2912608,Ibiquera,BA,Nordeste,validacao,32,0.753897003459501,0.84375
2902252,Arataca,BA,Nordeste,teste,61,0.7536513272664378,0.8688524590163934
2405504,Jardim de Angicos,RN,Nordeste,treino,38,0.7530999631725563,0.6842105263157895
2414209,Tibau do Sul,RN,Nordeste,treino,216,0.7524677316711071,0.7453703703703703
2919108,Lamarão,BA,Nordeste,treino,46,0.752249506646371,0.8043478260869565
2805109,Pedrinhas,SE,Nordeste,treino,62,0.7513589426184476,0.8870967741935484
2905503,Caldeirão Grande,BA,Nordeste,treino,149,0.745532032916562,0.7181208053691275
4306767,Eldorado do Sul,RS,Sul,treino,324,0.7446918649563339,0.7067901234567902
1716307,Pau D'Arco,TO,Norte,treino,58,0.7444664490898788,0.6206896551724138
2408953,Rio do Fogo,RN,Nordeste,validacao,88,0.7440853909878047,0.6931818181818182
